name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,قطب الشيرازي، محمود بن مسعود، 1236 أو 1237-1310 أو 1311,"",human,Qutb al-Din al-Shirazi,Q729903
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",author,قطب التحتاني، محمد بن محمد، 1294 أو 1295-1364 أو 1365,"",human,Muḥammad ibn Muḥammad Quṭb al-Taḥtānī,Q12233267
"Raymond, of Peñafort, Saint, 1175?-1275",author,"","",human,Raymond of Penyafort,Q318980
Rājārāmabhaṭṭa,former owner,"","",human,Rājārāmabhaṭṭa,Q114242508
Rāmānandasarasvatī,author,"","",human,Rāmānandasarasvatī,Q94635099
"Regiomontanus, Joannes, 1436-1476",author,"","",human,Regiomontanus,Q76365
"Robinson, Philip",former owner,"","",human,Philip Robinson,Q114242505
"Rudradeva, 18th cent",author,"","",human,Rudradeva,Q113814683
"Sacro Bosco, Joannes de, active 1230",author,"","",human,Johannes de Sacrobosco,Q433841
Saint-Benoît-sur-Loire (Abbey),former owner,"","",organization,Fleury Abbey,Q956741
Sarvajñātman,author,"","",human,Sarvajñātman,Q113400090
"Sassoon, David Solomon, 1880-1942",former owner,"","",human,David Solomon Sassoon,Q31762617
"Scarella, Stefano",former owner,"","",human,Stefano Scarella,Q64752134
"Schoenberg, Lawrence J",former owner,"","",human,Lawrence J. Schoenberg,Q107542788
"Schöner, Johann, 1477-1547",author,"","",human,Johannes Schöner,Q62770
"Shāfiʻī, Shams al-Dīn",author,شافعي، شمس الدين,"",human,Shams al-Dīn Shāfiʻī,Q114242501
"Shirwānī, Muḥammad al-Amīn ibn Ṣadr al-Dīn, -1626 or 1627",author,شرواني، محمد الامين بن صدر الدين، -1626 أو 1627,"",human,Muḥammad al-Amīn ibn Ṣadr al-Dīn Shirwānī,Q114242426
"Shore, Offley Bohun Stovin Fairless, 1863-1922",former owner,"","",human,Offley Bohun Stovin Fairless Shore,Q114242408
"Smith, Edgar F. 1854-1928",former owner,"","",human,Edgar Fahs Smith,Q3047451
"Sohoni, Pushkar",former owner,"","",human,Pushkar Sohoni,Q42666530
