subject_as_recorded,source_authority_uri,authorized_label,structured_value
Islamic Empire--Kings and rulers,"",Islamic Empire;Kings and rulers,http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/987694
Islamic calendar,"",Islamic calendar,http://id.worldcat.org/fast/1730291
Islamic ethics--Early works to 1800,"",Islamic ethics;Early works,http://id.worldcat.org/fast/979936;http://id.worldcat.org/fast/1411636
Islamic law,"",Islamic law,http://id.worldcat.org/fast/979949
Islamic law--Early works to 1800,"",Islamic law;Early works,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636
Islamic magic--Early works to 1800,"",Islamic magic;Early works,http://id.worldcat.org/fast/1730344;http://id.worldcat.org/fast/1411636
Jewish astronomy--Early works to 1800,"",Jewish astronomy;Early works,http://id.worldcat.org/fast/982662;http://id.worldcat.org/fast/1411636
Jews--History--586 B.C.-70 A.D,"",Jews;History,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1411628
Jews--History--Early works to 1800,"",Jews;History;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1411636
"Jews--History--Rebellion, 66-73","",Jews;History;Jewish Rebellion (66-73 A.D.),http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1404530
Kings and rulers--Duties--Early works to 1800,"",Kings and rulers--Duties;Early works,http://id.worldcat.org/fast/987703;http://id.worldcat.org/fast/1411636
Labyrinths--Early works to 1800,"",Labyrinths;Early works,http://id.worldcat.org/fast/990468;http://id.worldcat.org/fast/1411636
Latin language--Grammar--Early works to 1500,"",Latin language--Grammar;Early works,http://id.worldcat.org/fast/993167;http://id.worldcat.org/fast/1411636
"Letter writing, Persian","","Letter writing, Persian",http://id.worldcat.org/fast/996745
Logic,"",Logic,http://id.worldcat.org/fast/1002014
Logic--Early works to 1800,"",Logic;Early works,http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1411636
Logic--Islamic Empire--Early works to 1800,"",Logic;Islamic Empire;Early works,http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/1411636
Magic--Early works to 1800,"",Magic;Early works,http://id.worldcat.org/fast/1005468;http://id.worldcat.org/fast/1411636
Malikites,"",Malikites,http://id.worldcat.org/fast/1006724
Malikites--Early works to 1800,"",Malikites;Early works,http://id.worldcat.org/fast/1006724;http://id.worldcat.org/fast/1411636
"Materia medica, Vegetable--Early works to 1800","","Materia medica, Vegetable;Early works",http://id.worldcat.org/fast/1011725;http://id.worldcat.org/fast/1411636
Materia medica--Early works to 1800,"",Materia medica;Early works,http://id.worldcat.org/fast/1011707;http://id.worldcat.org/fast/1411636
Mathematical recreations--Early works to 1800,"",Mathematical recreations;Early works,http://id.worldcat.org/fast/1012120;http://id.worldcat.org/fast/1411636
Mathematics--Early works to 1800,"",Mathematics;Early works,http://id.worldcat.org/fast/1012163;http://id.worldcat.org/fast/1411636
Mecca (Saudi Arabia)--Pictorial works,"",Saudi Arabia--Mecca;Pictorial works,http://id.worldcat.org/fast/1204780;http://id.worldcat.org/fast/1423874
Medea (Greek mythology),"","Medea, consort of Aegeus, King of Athens (Mythological character)",http://id.worldcat.org/fast/1013568
Medicinal plants--Early works to 1800,"",Medicinal plants;Early works,http://id.worldcat.org/fast/1014866;http://id.worldcat.org/fast/1411636
"Medicine, Greek and Roman","","Medicine, Greek and Roman",http://id.worldcat.org/fast/1015251
"Medicine, Medieval","","Medicine, Medieval",http://id.worldcat.org/fast/1015277
"Medicine, Persian--Early works to 1800","","Medicine, Persian;Early works",http://id.worldcat.org/fast/1015308;http://id.worldcat.org/fast/1411636
Medicine--Early works to 1800,"",Medicine;Early works,http://id.worldcat.org/fast/1014893;http://id.worldcat.org/fast/1411636
"Medicine--Formulae, receipts, prescriptions--Early works to 1800","","Medicine--Formulae, receipts, prescriptions;Early works",http://id.worldcat.org/fast/1014953;http://id.worldcat.org/fast/1411636
Medina (Saudi Arabia)--Pictorial works,"",Saudi Arabia--Medina;Pictorial works,http://id.worldcat.org/fast/1213531;http://id.worldcat.org/fast/1423874
Merchants--Italy,"",Merchants;Italy,http://id.worldcat.org/fast/1017057;http://id.worldcat.org/fast/1204565
